,controller_name,episode,reward_mean,reward_sum,query_cost_mean,query_cost_sum,query_cost_weight,accuracy_cost_mean,accuracy_cost_sum,accuracy_weight,cloud_query_budget_frac
0,curr_cloud,830,-2.6037735849056602,-414.0,2.4150943396226414,384.0,1.0,0.018867924528301886,3.0,10.0,0.95
0,curr_cloud,320,-1.1603773584905661,-123.0,1.1603773584905661,123.0,1.0,0.0,0.0,10.0,0.3
0,curr_cloud,836,-2.6037735849056602,-414.0,2.4150943396226414,384.0,1.0,0.018867924528301886,3.0,10.0,0.95
0,curr_cloud,326,-1.1603773584905661,-123.0,1.1603773584905661,123.0,1.0,0.0,0.0,10.0,0.3
0,curr_cloud,332,-1.4433962264150944,-153.0,1.1603773584905661,123.0,1.0,0.02830188679245283,3.0,10.0,0.3
0,curr_cloud,338,-1.349056603773585,-143.0,1.1603773584905661,123.0,1.0,0.018867924528301886,2.0,10.0,0.3
0,curr_cloud,344,-1.1603773584905661,-123.0,1.1603773584905661,123.0,1.0,0.0,0.0,10.0,0.3
0,curr_cloud,350,-1.4433962264150944,-153.0,1.1603773584905661,123.0,1.0,0.02830188679245283,3.0,10.0,0.3
0,curr_cloud,356,-1.4433962264150944,-153.0,1.1603773584905661,123.0,1.0,0.02830188679245283,3.0,10.0,0.3
0,curr_cloud,362,-1.7983193277310925,-214.0,1.546218487394958,184.0,1.0,0.025210084033613446,3.0,10.0,0.45
0,curr_cloud,368,-2.0504201680672267,-244.0,1.546218487394958,184.0,1.0,0.05042016806722689,6.0,10.0,0.45
0,curr_cloud,374,-2.2184873949579833,-264.0,1.546218487394958,184.0,1.0,0.06722689075630252,8.0,10.0,0.45
0,curr_cloud,380,-1.8823529411764706,-224.0,1.546218487394958,184.0,1.0,0.03361344537815126,4.0,10.0,0.45
0,curr_cloud,386,-2.302521008403361,-274.0,1.546218487394958,184.0,1.0,0.07563025210084033,9.0,10.0,0.45
0,curr_cloud,392,-1.9663865546218486,-234.0,1.546218487394958,184.0,1.0,0.04201680672268908,5.0,10.0,0.45
0,curr_cloud,398,-2.134453781512605,-254.0,1.546218487394958,184.0,1.0,0.058823529411764705,7.0,10.0,0.45
0,curr_cloud,404,-1.8823529411764706,-224.0,1.546218487394958,184.0,1.0,0.03361344537815126,4.0,10.0,0.45
0,curr_cloud,410,-1.8823529411764706,-224.0,1.546218487394958,184.0,1.0,0.03361344537815126,4.0,10.0,0.45
0,curr_cloud,416,-1.9663865546218486,-234.0,1.546218487394958,184.0,1.0,0.04201680672268908,5.0,10.0,0.45
0,curr_cloud,422,-2.0504201680672267,-244.0,1.546218487394958,184.0,1.0,0.05042016806722689,6.0,10.0,0.45
0,curr_cloud,428,-2.134453781512605,-254.0,1.546218487394958,184.0,1.0,0.058823529411764705,7.0,10.0,0.45
0,curr_cloud,434,-2.2184873949579833,-264.0,1.546218487394958,184.0,1.0,0.06722689075630252,8.0,10.0,0.45
0,curr_cloud,440,-1.7983193277310925,-214.0,1.546218487394958,184.0,1.0,0.025210084033613446,3.0,10.0,0.45
0,curr_cloud,446,-1.7142857142857142,-204.0,1.546218487394958,184.0,1.0,0.01680672268907563,2.0,10.0,0.45
0,curr_cloud,452,-2.4705882352941178,-294.0,1.546218487394958,184.0,1.0,0.09243697478991597,11.0,10.0,0.45
0,curr_cloud,458,-1.8823529411764706,-224.0,1.546218487394958,184.0,1.0,0.03361344537815126,4.0,10.0,0.45
0,curr_cloud,464,-1.7983193277310925,-214.0,1.546218487394958,184.0,1.0,0.025210084033613446,3.0,10.0,0.45
0,curr_cloud,470,-2.3865546218487395,-284.0,1.546218487394958,184.0,1.0,0.08403361344537816,10.0,10.0,0.45
0,curr_cloud,476,-2.2184873949579833,-264.0,1.546218487394958,184.0,1.0,0.06722689075630252,8.0,10.0,0.45
0,curr_cloud,482,-2.1132075471698113,-336.0,2.1132075471698113,336.0,1.0,0.0,0.0,10.0,0.8
0,curr_cloud,488,-2.993710691823899,-476.0,2.1132075471698113,336.0,1.0,0.0880503144654088,14.0,10.0,0.8
0,curr_cloud,494,-2.8679245283018866,-456.0,2.1132075471698113,336.0,1.0,0.07547169811320754,12.0,10.0,0.8
0,curr_cloud,500,-2.6163522012578615,-416.0,2.1132075471698113,336.0,1.0,0.050314465408805034,8.0,10.0,0.8
0,curr_cloud,506,-2.5534591194968552,-406.0,2.1132075471698113,336.0,1.0,0.0440251572327044,7.0,10.0,0.8
0,pure_oracle,516,-0.6285714285714286,-66.0,0.6285714285714286,66.0,1.0,0.0,0.0,10.0,0.8
0,pure_oracle,6,-0.9714285714285714,-102.0,0.4,42.0,1.0,0.05714285714285714,6.0,10.0,0.05
0,pure_oracle,522,-0.780952380952381,-82.0,0.780952380952381,82.0,1.0,0.0,0.0,10.0,0.8
0,pure_oracle,12,-2.1142857142857143,-222.0,0.4,42.0,1.0,0.17142857142857143,18.0,10.0,0.05
0,pure_oracle,528,-0.5825242718446602,-60.0,0.5825242718446602,60.0,1.0,0.0,0.0,10.0,0.8
0,pure_oracle,18,-1.542857142857143,-162.0,0.4,42.0,1.0,0.11428571428571428,12.0,10.0,0.05
0,pure_oracle,534,-0.7788461538461539,-81.0,0.7788461538461539,81.0,1.0,0.0,0.0,10.0,0.8
0,pure_oracle,24,-0.9714285714285714,-102.0,0.4,42.0,1.0,0.05714285714285714,6.0,10.0,0.05
0,pure_oracle,540,-0.7047619047619048,-74.0,0.7047619047619048,74.0,1.0,0.0,0.0,10.0,0.8
0,pure_oracle,30,-0.3619047619047619,-38.0,0.3619047619047619,38.0,1.0,0.0,0.0,10.0,0.05
0,pure_oracle,546,-0.5865384615384616,-61.0,0.5865384615384616,61.0,1.0,0.0,0.0,10.0,0.8
0,pure_oracle,36,-1.8285714285714285,-192.0,0.4,42.0,1.0,0.14285714285714285,15.0,10.0,0.05
0,pure_oracle,552,-0.780952380952381,-82.0,0.780952380952381,82.0,1.0,0.0,0.0,10.0,0.8
0,pure_oracle,42,-1.3523809523809525,-142.0,0.4,42.0,1.0,0.09523809523809523,10.0,10.0,0.05
0,pure_oracle,558,-0.5784313725490197,-59.0,0.5784313725490197,59.0,1.0,0.0,0.0,10.0,0.8
0,pure_oracle,48,-0.6796116504854369,-70.0,0.3883495145631068,40.0,1.0,0.02912621359223301,3.0,10.0,0.05
0,pure_oracle,564,-0.5825242718446602,-60.0,0.5825242718446602,60.0,1.0,0.0,0.0,10.0,0.8
0,pure_oracle,54,-0.6826923076923077,-71.0,0.3942307692307692,41.0,1.0,0.028846153846153848,3.0,10.0,0.05
0,pure_oracle,570,-0.780952380952381,-82.0,0.780952380952381,82.0,1.0,0.0,0.0,10.0,0.8
0,pure_oracle,60,-1.2571428571428571,-132.0,0.4,42.0,1.0,0.08571428571428572,9.0,10.0,0.05
0,pure_oracle,576,-0.5904761904761905,-62.0,0.5904761904761905,62.0,1.0,0.0,0.0,10.0,0.8
0,pure_oracle,66,-0.6826923076923077,-71.0,0.3942307692307692,41.0,1.0,0.028846153846153848,3.0,10.0,0.05
0,pure_oracle,582,-0.780952380952381,-82.0,0.780952380952381,82.0,1.0,0.0,0.0,10.0,0.8
